event_name,ACC_MM_ACCOUNT,ACC_OWNERSHIP,ENV_MOBILE_PENETRATION,OPS_P2P_ATM_RATIO,USG_DIGITAL_PAYMENT
Directive Allowing Non-Bank Mobile Money Operators,1.0,0.0,0.0,0.0,0.0
EthSwitch Interoperability Expansion,0.0,0.0,0.0,0.15,1.5
Ethio Telecom 4G/5G Network Expansion Program,0.0,0.0,0.0,0.0,1.8
Fayda National Digital ID Rollout,0.0,1.5,0.0,0.0,0.0
Foreign Exchange Liberalization Reform,0.0,0.5,0.0,0.0,-1.0
M-Pesa Ethiopia Launch,3.5,0.0,0.0,0.0,2.0
National Bank Directive on Mobile Money (Licensing Framework),1.0,0.0,0.0,0.0,0.0
National Financial Inclusion Strategy II (NFIS-II) Launch,0.0,2.0,0.0,0.0,0.0
P2P Transfers Surpass ATM Withdrawals,0.0,0.0,0.0,0.1,0.0
Safaricom Ethiopia Commercial Launch,0.0,0.0,5.0,0.0,0.0
Telebirr - CBE Birr Interoperability,0.0,0.0,0.0,0.0,1.0
Telebirr Launch,4.2,3.0,0.0,0.0,0.0
Telebirr Super App Expansion,0.0,0.0,0.0,0.0,1.2
